Word,Condition,Meaning1,Meaning2,Meaning3
Blatt,Test,Laubblatt,Blatt Papier,
Messen,3,Maß nehmen,Gottesdienste,Ausstellung
Decken,3,Federbetten,Zimmerdecken,Tisch decken
anstellen,3,Anreihen,Einstellen,Empfindlich sein
Mine,3,Bergwerk,Sprengkörper,Bleistiftmine
Schuppen,3,Bretterhäuschen,Fischschuppen,Hautschuppen
Schloss,2,Palast,Verschluss,
Sprosse,2,Querholz einer Leiter,Pflanzentrieb,
Kiefer,2,Kieferknochen,Baum,
Absatz,2,Stöckel,Abschnitt,
Gericht,2,Tribunal,Essen,
Pension,2,Rente,Gasthaus,
Schale,2,Äußere Schicht von Obst,Schüssel,
Linse,2,Kameralinse,Linsenpflanze,
Hahn,2,Gockel,Wasserhahn,
Strauß,2,Vogel,Blumenstrauß,
Ball,2,Spielzeug,Tanzveranstaltung,
Bar,2,Lokal,Einheit,
Pflaster,2,Verband,Straßenbelag,
Mutter,2,Mama,Schraubenmutter,
Gut,2,Positiv,Besitz,
Brief,1,geschriebene Nachricht,,
Gedicht,1,lyrische Dichtung,,
Lampe,1,Beleuchtung,,
Mensch,1,Person,,
Sessel,1,gepolsterter Stuhl,,
